ID,Sign,Role,Video_id,Video_Path
E_CBC_2_66043,E,CBC_2,66043,./perfect1_2_3/66043.mp4
RECENT_CBC_2_66376,RECENT,CBC_2,66376,./perfect1_2_3/66376.mp4
GET_CBC_2_65808,GET,CBC_2,65808,./perfect1_2_3/65808.mp4
MEXICO_CBC_2_66119,MEXICO,CBC_2,66119,./perfect1_2_3/66119.mp4
OFFICE_CBC_2_66224,OFFICE,CBC_2,66224,./perfect1_2_3/66224.mp4
FRIEND_CBC_2_65782,FRIEND,CBC_2,65782,./perfect1_2_3/65782.mp4
OBSESS_CBC_2_66221,OBSESS,CBC_2,66221,./perfect1_2_3/66221.mp4
ENGAGE_CBC_2_65633,ENGAGE,CBC_2,65633,./perfect1_2_3/65633.mp4
INSPIRE_CBC_2_65943,INSPIRE,CBC_2,65943,./perfect1_2_3/65943.mp4
GOD_CBC_2_65832,GOD,CBC_2,65832,./perfect1_2_3/65832.mp4
SPECIAL_CBC_2_66543,SPECIAL,CBC_2,66543,./perfect1_2_3/66543.mp4
EXCITED_CBC_2_65655,EXCITED,CBC_2,65655,./perfect1_2_3/65655.mp4
REVENGE_CBC_2_66402,REVENGE,CBC_2,66402,./perfect1_2_3/66402.mp4
EITHER_CBC_2_65617,EITHER,CBC_2,65617,./perfect1_2_3/65617.mp4
BUSY_CBC_2_65277,BUSY,CBC_2,65277,./perfect1_2_3/65277.mp4
PULL_CBC_2_66351,PULL,CBC_2,66351,./perfect1_2_3/66351.mp4
REMOTE CONTROL_CBC_2_66389,REMOTE CONTROL,CBC_2,66389,./perfect1_2_3/66389.mp4
SPIDER_CBC_2_66546,SPIDER,CBC_2,66546,./perfect1_2_3/66546.mp4
DEVELOP_CBC_2_65473,DEVELOP,CBC_2,65473,./perfect1_2_3/65473.mp4
POWER_CBC_2_66319,POWER,CBC_2,66319,./perfect1_2_3/66319.mp4
PRESIDENT_CBC_2_66326,PRESIDENT,CBC_2,66326,./perfect1_2_3/66326.mp4
NINE_CBC_2_66173,NINE,CBC_2,66173,./perfect1_2_3/66173.mp4
SURPRISE_CBC_2_66583,SURPRISE,CBC_2,66583,./perfect1_2_3/66583.mp4
TONGUE_CBC_2_66656,TONGUE,CBC_2,66656,./perfect1_2_3/66656.mp4
POOP_CBC_2_66311,POOP,CBC_2,66311,./perfect1_2_3/66311.mp4
FRIENDLY_CBC_2_65783,FRIENDLY,CBC_2,65783,./perfect1_2_3/65783.mp4
SANDWICH_CBC_2_66423,SANDWICH,CBC_2,66423,./perfect1_2_3/66423.mp4
RESEARCH_CBC_2_66393,RESEARCH,CBC_2,66393,./perfect1_2_3/66393.mp4
FOLLOW_CBC_2_65752,FOLLOW,CBC_2,65752,./perfect1_2_3/65752.mp4
SOUP_CBC_2_66538,SOUP,CBC_2,66538,./perfect1_2_3/66538.mp4
MOUTH_CBC_2_66149,MOUTH,CBC_2,66149,./perfect1_2_3/66149.mp4
THROW_CBC_2_66636,THROW,CBC_2,66636,./perfect1_2_3/66636.mp4
CROCODILE_CBC_2_65425,CROCODILE,CBC_2,65425,./perfect1_2_3/65425.mp4
MANAGE_CBC_2_66100,MANAGE,CBC_2,66100,./perfect1_2_3/66100.mp4
PERIOD_CBC_2_66279,PERIOD,CBC_2,66279,./perfect1_2_3/66279.mp4
PACK_CBC_2_66258,PACK,CBC_2,66258,./perfect1_2_3/66258.mp4
DESERT_CBC_2_65467,DESERT,CBC_2,65467,./perfect1_2_3/65467.mp4
ITALY_CBC_2_65969,ITALY,CBC_2,65969,./perfect1_2_3/65969.mp4
DANCER_CBC_2_65436,DANCER,CBC_2,65436,./perfect1_2_3/65436.mp4
ELECTRICIAN_CBC_2_65618,ELECTRICIAN,CBC_2,65618,./perfect1_2_3/65618.mp4
SHY_CBC_2_66474,SHY,CBC_2,66474,./perfect1_2_3/66474.mp4
PROTECT_CBC_2_66343,PROTECT,CBC_2,66343,./perfect1_2_3/66343.mp4
DELICIOUS_CBC_2_65457,DELICIOUS,CBC_2,65457,./perfect1_2_3/65457.mp4
EIGHTEEN_CBC_2_65614,EIGHTEEN,CBC_2,65614,./perfect1_2_3/65614.mp4
CHOCOLATE_CBC_2_65354,CHOCOLATE,CBC_2,65354,./perfect1_2_3/65354.mp4
PHILOSOPHY_CBC_2_66287,PHILOSOPHY,CBC_2,66287,./perfect1_2_3/66287.mp4
CAKE_CBC_2_65285,CAKE,CBC_2,65285,./perfect1_2_3/65285.mp4
LEMON_CBC_2_66033,LEMON,CBC_2,66033,./perfect1_2_3/66033.mp4
SINGLE_CBC_2_66484,SINGLE,CBC_2,66484,./perfect1_2_3/66484.mp4
COUNSEL_CBC_2_65412,COUNSEL,CBC_2,65412,./perfect1_2_3/65412.mp4
IMPROVE_CBC_2_65929,IMPROVE,CBC_2,65929,./perfect1_2_3/65929.mp4
SERVE_CBC_2_66449,SERVE,CBC_2,66449,./perfect1_2_3/66449.mp4
DEVIL_CBC_2_65474,DEVIL,CBC_2,65474,./perfect1_2_3/65474.mp4
CHEAP_CBC_2_65340,CHEAP,CBC_2,65340,./perfect1_2_3/65340.mp4
TRANSFER_CBC_2_66667,TRANSFER,CBC_2,66667,./perfect1_2_3/66667.mp4
NUT_CBC_2_66220,NUT,CBC_2,66220,./perfect1_2_3/66220.mp4
PLATE_CBC_2_66299,PLATE,CBC_2,66299,./perfect1_2_3/66299.mp4
ONCE_CBC_2_66227,ONCE,CBC_2,66227,./perfect1_2_3/66227.mp4
STAIRS_CBC_2_66552,STAIRS,CBC_2,66552,./perfect1_2_3/66552.mp4
SNOWMAN_CBC_2_66521,SNOWMAN,CBC_2,66521,./perfect1_2_3/66521.mp4
MINUTE_CBC_2_66127,MINUTE,CBC_2,66127,./perfect1_2_3/66127.mp4
ROOMMATE_CBC_2_66417,ROOMMATE,CBC_2,66417,./perfect1_2_3/66417.mp4
PERFECT_CBC_2_65575,PERFECT,CBC_2,65575,./perfect1_2_3/65575.mp4
DRIVE_CBC_2_65542,DRIVE,CBC_2,65542,./perfect1_2_3/65542.mp4
CAFETERIA_CBC_2_65284,CAFETERIA,CBC_2,65284,./perfect1_2_3/65284.mp4
MENTION_CBC_2_66115,MENTION,CBC_2,66115,./perfect1_2_3/66115.mp4
LUCKY_CBC_2_66090,LUCKY,CBC_2,66090,./perfect1_2_3/66090.mp4
INSTEAD_CBC_2_65945,INSTEAD,CBC_2,65945,./perfect1_2_3/65945.mp4
FAT_CBC_2_65692,FAT,CBC_2,65692,./perfect1_2_3/65692.mp4
SQUIRREL_CBC_2_66551,SQUIRREL,CBC_2,66551,./perfect1_2_3/66551.mp4
NOTHING_CBC_2_66192,NOTHING,CBC_2,66192,./perfect1_2_3/66192.mp4
